case,implementation,bytes,median_ns,min_ns,max_ns,MiB/s
filelog_decode/bad_utf16le_Fail/17,candidate,10,111.657,111.577,131.266,85.411
filelog_decode/bad_utf16le_Fail/3,prototype,10,165.672,163.617,168.723,57.564
filelog_decode/bad_utf16le_Fail/3,candidate,10,153.106,151.577,170.992,62.289
filelog_decode/bad_utf16le_Fail/65536,prototype,10,112.839,112.566,115.548,84.516
filelog_decode/bad_utf16le_Fail/65536,candidate,10,112.763,111.726,120.873,84.573
filelog_decode/bad_utf16le_PreserveRaw/1,prototype,65534,1815285.376,1796726.923,1860133.821,34.429
filelog_decode/bad_utf16le_PreserveRaw/1,candidate,65534,1604674.419,1558057.435,1649301.835,38.948
filelog_decode/bad_utf16le_PreserveRaw/17,prototype,65534,797502.346,782688.437,798659.335,78.367
filelog_decode/bad_utf16le_PreserveRaw/17,candidate,65534,769752.240,749130.931,819089.340,81.192
filelog_decode/bad_utf16le_PreserveRaw/3,prototype,65534,1094610.588,1082830.577,1107320.500,57.096
filelog_decode/bad_utf16le_PreserveRaw/3,candidate,65534,1018449.303,987580.909,1090287.123,61.366
filelog_decode/bad_utf16le_PreserveRaw/65536,prototype,65534,721822.172,716655.448,742679.908,86.584
filelog_decode/bad_utf16le_PreserveRaw/65536,candidate,65534,690328.227,673641.553,712569.594,90.534
filelog_decode/bad_utf16le_Replace/1,prototype,65534,1858628.852,1802583.674,1879105.055,33.626
filelog_decode/bad_utf16le_Replace/1,candidate,65534,1641605.647,1565183.517,1792315.112,38.071
filelog_decode/bad_utf16le_Replace/17,prototype,65534,827056.093,782644.093,875235.294,75.567
filelog_decode/bad_utf16le_Replace/17,candidate,65534,740941.239,737153.504,858832.853,84.350
filelog_decode/bad_utf16le_Replace/3,prototype,65534,1110344.181,1083305.740,1143177.197,56.287
filelog_decode/bad_utf16le_Replace/3,candidate,65534,1070504.428,976849.063,1138642.610,58.382
filelog_decode/bad_utf16le_Replace/65536,prototype,65534,739948.821,729404.073,747472.242,84.463
filelog_decode/bad_utf16le_Replace/65536,candidate,65534,681959.259,674208.862,736272.965,91.645
filelog_decode/bad_utf8_Fail/1,prototype,4,209.399,205.761,213.268,18.217
filelog_decode/bad_utf8_Fail/1,candidate,4,161.573,157.246,165.940,23.610
filelog_decode/bad_utf8_Fail/17,prototype,4,157.102,153.537,167.823,24.282
filelog_decode/bad_utf8_Fail/17,candidate,4,127.168,115.774,134.813,29.997
filelog_decode/bad_utf8_Fail/3,prototype,4,175.128,169.829,178.852,21.782
filelog_decode/bad_utf8_Fail/3,candidate,4,130.950,128.911,132.296,29.131
filelog_decode/bad_utf8_Fail/65536,prototype,4,157.786,155.095,162.614,24.176
filelog_decode/bad_utf8_Fail/65536,candidate,4,119.511,118.130,120.389,31.919
filelog_decode/bad_utf8_PreserveRaw/1,prototype,65534,2978802.385,2953592.147,3206562.405,20.981
filelog_decode/bad_utf8_PreserveRaw/1,candidate,65534,2272522.452,2264518.762,2548954.408,27.502
filelog_decode/bad_utf8_PreserveRaw/17,prototype,65534,2162425.649,2154468.552,2393142.096,28.902
filelog_decode/bad_utf8_PreserveRaw/17,candidate,65534,1717688.465,1595074.043,1909344.260,36.385
filelog_decode/bad_utf8_PreserveRaw/3,prototype,65534,2405515.311,2380747.410,2507640.807,25.981
filelog_decode/bad_utf8_PreserveRaw/3,candidate,65534,1835940.381,1810443.743,2547203.555,34.041
filelog_decode/bad_utf8_PreserveRaw/65536,prototype,65534,2106178.277,2093807.038,2215305.035,29.674
filelog_decode/bad_utf8_PreserveRaw/65536,candidate,65534,1579335.318,1573959.610,1814884.614,39.572
filelog_decode/bad_utf8_Replace/1,prototype,65534,3022674.972,2983932.822,3048438.700,20.676
filelog_decode/bad_utf8_Replace/1,candidate,65534,2327328.254,2260857.423,2820392.682,26.854
filelog_decode/bad_utf8_Replace/17,prototype,65534,2168646.113,2150213.927,2225564.678,28.819
filelog_decode/bad_utf8_Replace/17,candidate,65534,1651023.869,1587718.585,1660051.719,37.854
filelog_decode/bad_utf8_Replace/3,prototype,65534,2396932.121,2385847.910,2466102.625,26.074
filelog_decode/bad_utf8_Replace/3,candidate,65534,1855143.324,1797254.046,1894230.426,33.689
filelog_decode/bad_utf8_Replace/65536,prototype,65534,2157418.228,2108201.501,2270091.398,28.969
filelog_decode/bad_utf8_Replace/65536,candidate,65534,1615638.878,1558919.351,1622697.981,38.683
filelog_decode/buffered_ascii_experiment/0,prototype,65520,1940384.545,1889202.512,1956494.881,32.202
filelog_decode/buffered_ascii_experiment/0,candidate,65520,621907.694,613486.511,656659.188,100.473
filelog_decode/buffered_ascii_experiment/1,prototype,65520,3236193.305,3130017.852,3295203.168,19.308
filelog_decode/buffered_ascii_experiment/1,candidate,65520,1399942.776,1376450.258,1464892.080,44.634
